DUFD,20200622,0.01,20,0.01,13.33,0
DUFI,20200622,33.33,40,33.33,33.33,0
DUOF,20200622,6.66,20,6.66,20,0
DUOH,20200622,13.33,20,13.33,20,0
DUSL,20200622,675.89,682.12,673.41,681.57,0
DUSM,20200622,1089.17,1099.08,1082.45,1096.72,0
DUSS,20200622,1009.81,1018.74,1000.04,1016.88,0
DUTH,20200622,20,20,20,20,0
DUTW,20200622,6.66,6.66,6.66,6.66,0
DVCA,20200622,8.68,79.38,8.68,60.74,0
DVCC,20200622,3.51,32.89,3.51,31.98,0
DVCE,20200622,55.91,634.27,55.91,634.27,0
DVCN,20200622,218.1,2042.73,218.1,2042.73,0
DVCQ,20200622,197.21,1582.71,197.21,1582.71,0
DVCS,20200622,17.17,184.21,17.17,184.21,0
DVCT,20200622,424,3686.19,424,3686.19,0
DVCU,20200622,242.63,1741.63,242.63,1323.57,0
DVCV,20200622,4.36,37.28,4.36,34.89,0
DVCX,20200622,25.05,251.13,25.05,251.08,0
DVS,20200622,145.6,145.6,145.6,145.6,0
DWCB,20200622,4072.52,4122.77,4044.42,4081.41,0
DXY,20200622,97.61,97.73,96.88,96.89,0
EVZ,20200622,8.03,8.59,7.98,7.98,0
FBV,20200622,23.7,23.72,23.68,23.71,0
FVX,20200622,0.33,0.33,0.31,0.33,0
GLD,20200622,1742.29,1761.96,1742.29,1754.31,197887
GMI,20200622,33.64,35.18,33.64,34.75,0
GNX,20200622,327.64,330.73,325.74,330.63,0
GVZ,20200622,20.71,20.81,19.14,19.55,0
HGX,20200622,308.27,312.85,305.38,312.65,0
HIGA,20200622,3,3,3,3,0
HIGC,20200622,1,1,1,1,0
HIGD,20200622,0.01,0.01,0.01,0.01,0
HIGE,20200622,80,80,80,80,0
HIGN,20200622,36,36,36,36,0
HIGQ,20200622,97,97,97,97,0
HIGS,20200622,19,19,19,19,0
HIGU,20200622,108,108,108,108,0
HIGV,20200622,2,2,2,2,0
HUI,20200622,273.38,281.62,273.26,277.45,0
HVX,20200622,92.23,93.17,90.95,93.02,0
IDX,20200622,1778.27,1793.83,1757.44,1790.34,556928700
INDS,20200622,7556.29,7617.58,7535.05,7616.5,0
INSR,20200622,8081.97,8182.17,8064.85,8149.22,0
IQX,20200622,4172.26,4188.35,4123.21,4178.9,0
IQZ,20200622,9972.14,10068.97,9859.92,10057,0
IRX,20200622,0.14,0.14,0.14,0.14,0
IVX,20200622,1078.43,1083.31,1070.52,1080.72,0
IXB,20200622,591.63,596.77,586.86,594.31,0
IXCO,20200622,6786.04,6904.36,6775.85,6900.51,0
IXE,20200622,407.86,412.83,402.76,411.79,0
IXF,20200622,4422.75,4440.1,4384.4,4415.92,0
IXHC,20200622,1027.13,1032.85,1014.96,1030.03,0
IXI,20200622,692.26,697.9,685.12,695.87,0
IXM,20200622,292.34,294.5,290.44,292.63,0
IXR,20200622,595.76,596.95,592.54,594.5,0
IXTC,20200622,420.59,425.15,420.08,421.95,0
IXU,20200622,576.48,587.08,572.41,583.79,0
IXV,20200622,1012.36,1012.36,1000.7,1010.79,0
IXY,20200622,1284.18,1298.04,1276.19,1297.1,0
JX,20200622,572.32,578.29,571.93,577.44,73869000
KDX,20200622,79.88,81.07,78.92,80.97,0
KIX,20200622,237.35,239.87,235.95,238.22,0
KLX,20200622,27.66,28.01,27.64,27.88,0
KPX,20200622,633.15,639.26,628.64,635.81,0
KRX,20200622,72.93,74.17,72.16,73.5,0
KSX,20200622,365.73,367.96,363.55,365.93,0
KYX,20200622,49.62,49.66,48.54,49.57,0
LOWA,20200622,0.01,0.01,0.01,0.01,0
LOWC,20200622,0.01,0.01,0.01,0.01,0
LOWD,20200622,0.01,0.01,0.01,0.01,0
LOWE,20200622,10,10,10,10,0
LOWN,20200622,3,3,3,3,0
LOWQ,20200622,5,5,5,5,0
LOWS,20200622,1,1,1,1,0
LOWU,20200622,24,24,24,24,0
LOWV,20200622,0.01,0.01,0.01,0.01,0
M1DA,20200622,5,5,5,5,18600
M1DB,20200622,-2,-2,-2,-2,2800
M1DC,20200622,-124,-124,-124,-124,192500
M1DE,20200622,147,147,147,147,185400
M1DF,20200622,0.01,0.01,0.01,0.01,6000
M1DG,20200622,-11,-11,-11,-11,98200
M1DH,20200622,6,6,6,6,346800
M1DI,20200622,-4,-4,-4,-4,7200
M1DJ,20200622,-6,-6,-6,-6,2800
M1DK,20200622,4,4,4,4,7100
M1DL,20200622,-73,-73,-73,-73,294900
M1DM,20200622,0.01,0.01,0.01,0.01,3300
M1DN,20200622,-141,-141,-141,-141,189900
M1DO,20200622,5,5,5,5,10000
M1DP,20200622,-16,-16,-16,-16,49800
M1DQ,20200622,69,69,69,69,260400
M1DR,20200622,-6,-6,-6,-6,3100
M1DS,20200622,3,3,3,3,6100
M1DT,20200622,-2,-2,-2,-2,2600
M1DU,20200622,-23,-23,-23,-23,250500
M1DV,20200622,-44,-44,-44,-44,391200
M1DW,20200622,1,1,1,1,2600
M1DX,20200622,-67,-67,-67,-67,468900
M1DY,20200622,-3,-3,-3,-3,6300
M1DZ,20200622,-139,-139,-139,-139,282400
M1HA,20200622,16,16,16,16,18600
M1HB,20200622,0.01,0.01,0.01,0.01,2800
M1HC,20200622,113,113,113,113,192500
M1HE,20200622,182,182,182,182,185400
M1HF,20200622,0.01,0.01,0.01,0.01,6000
M1HG,20200622,63,63,63,63,98200
M1HH,20200622,252,252,252,252,346800
M1HI,20200622,1,1,1,1,7200
M1HJ,20200622,0.01,0.01,0.01,0.01,2800
M1HK,20200622,6,6,6,6,7100
M1HL,20200622,100,100,100,100,294900
M1HM,20200622,0.01,0.01,0.01,0.01,3300
M1HN,20200622,83,83,83,83,189900
M1HO,20200622,8,8,8,8,10000
M1HP,20200622,22,22,22,22,49800
M1HQ,20200622,253,253,253,253,260400
M1HR,20200622,0.01,0.01,0.01,0.01,3100
M1HS,20200622,6,6,6,6,6100
M1HT,20200622,0.01,0.01,0.01,0.01,2600
M1HU,20200622,53,53,53,53,250500
M1HV,20200622,299,299,299,299,391200
M1HW,20200622,4,4,4,4,2600
M1HX,20200622,352,352,352,352,468900
M1HY,20200622,5,5,5,5,6300
M1HZ,20200622,169,169,169,169,282400
M1LA,20200622,11,11,11,11,18600
M1LB,20200622,2,2,2,2,2800
M1LC,20200622,237,237,237,237,192500
M1LE,20200622,35,35,35,35,185400
M1LF,20200622,0.01,0.01,0.01,0.01,6000
M1LG,20200622,74,74,74,74,98200
M1LH,20200622,246,246,246,246,346800
M1LI,20200622,5,5,5,5,7200
M1LJ,20200622,6,6,6,6,2800
M1LK,20200622,2,2,2,2,7100
M1LL,20200622,173,173,173,173,294900
M1LM,20200622,0.01,0.01,0.01,0.01,3300
M1LN,20200622,224,224,224,224,189900
M1LO,20200622,3,3,3,3,10000
M1LP,20200622,38,38,38,38,49800
M1LQ,20200622,184,184,184,184,260400
M1LR,20200622,6,6,6,6,3100
M1LS,20200622,3,3,3,3,6100
M1LT,20200622,2,2,2,2,2600
M1LU,20200622,76,76,76,76,250500
M1LV,20200622,343,343,343,343,391200
M1LW,20200622,3,3,3,3,2600
M1LX,20200622,419,419,419,419,468900
M1LY,20200622,8,8,8,8,6300
M1LZ,20200622,308,308,308,308,282400
M3DA,20200622,14,14,14,14,18600
M3DB,20200622,0.01,0.01,0.01,0.01,2800
M3DC,20200622,86,86,86,86,192500
M3DE,20200622,148,148,148,148,185400
M3DF,20200622,0.01,0.01,0.01,0.01,6000
M3DG,20200622,54,54,54,54,98200
M3DH,20200622,213,213,213,213,346800
M3DI,20200622,1,1,1,1,7200
M3DJ,20200622,0.01,0.01,0.01,0.01,2800
M3DK,20200622,6,6,6,6,7100
M3DL,20200622,62,62,62,62,294900
M3DM,20200622,0.01,0.01,0.01,0.01,3300
M3DN,20200622,59,59,59,59,189900
M3DO,20200622,7,7,7,7,10000
M3DP,20200622,17,17,17,17,49800
M3DQ,20200622,202,202,202,202,260400
M3DR,20200622,0.01,0.01,0.01,0.01,3100
M3DS,20200622,4,4,4,4,6100
M3DT,20200622,0.01,0.01,0.01,0.01,2600
M3DU,20200622,33,33,33,33,250500
M3DV,20200622,242,242,242,242,391200
M3DW,20200622,3,3,3,3,2600
M3DX,20200622,275,275,275,275,468900
M3DY,20200622,3,3,3,3,6300
M3DZ,20200622,133,133,133,133,282400
M3HA,20200622,14,14,14,14,18600
M3HB,20200622,0.01,0.01,0.01,0.01,2800
M3HC,20200622,96,96,96,96,192500
M3HE,20200622,161,161,161,161,185400
M3HF,20200622,0.01,0.01,0.01,0.01,6000
M3HG,20200622,54,54,54,54,98200
